Rank,Release Group,Worldwide,Domestic,%,Foreign,%
532,Six in Paris,"$15,532","$15,532",100%,-,-
533,The Beautiful Truth,"$15,387","$15,387",100%,-,-
534,No Regret 2008 Re-release,"$15,347","$15,347",100%,-,-
535,Cthulhu,"$15,213","$15,213",100%,-,-
536,All Hat,"$15,198","$15,198",100%,-,-
537,YPF,"$14,459","$9,359",64.7%,"$5,100",35.3%
538,It Always Rains on Sunday,"$14,276","$14,276",100%,-,-
539,Military Intelligence and You!,"$14,251","$14,251",100%,-,-
540,Ripple Effect,"$14,059","$14,059",100%,-,-
541,Full Grown Men,"$13,716","$13,716",100%,-,-
542,Written on the Wind,"$13,495",-,-,"$13,495",100%
543,Kicking It,"$13,266","$13,266",100%,-,-
544,Harold,"$13,229","$13,229",100%,-,-
545,I Can No Longer Hear the Guitar,"$12,876","$12,876",100%,-,-
546,Lake City,"$12,767","$12,767",100%,-,-
547,August,"$12,636","$12,636",100%,-,-
548,Jake's Corner,"$12,522","$12,522",100%,-,-
549,Backseat,"$12,343","$12,343",100%,-,-
550,Full Battle Rattle,"$12,306","$12,306",100%,-,-
551,Last Stop for Paul,"$11,951","$11,951",100%,-,-
552,The Go-Getter,"$11,931","$11,931",100%,-,-
553,Quid Pro Quo,"$11,864","$11,864",100%,-,-
554,Operation Filmmaker,"$11,573","$11,573",100%,-,-
555,Sputnik Fever,"$11,441","$11,441",100%,-,-
556,Gardens of the Night,"$11,436","$11,436",100%,-,-
557,"Otto; or, Up with Dead People","$11,295","$11,295",100%,-,-
558,Whaledreamers,"$10,584","$10,584",100%,-,-
559,As It Is in Heaven 2008 Re-release,"$10,236","$10,236",100%,-,-
560,Broken Arrow,"$10,145",-,-,"$10,145",100%
561,Tru Loved,"$9,467","$9,467",100%,-,-
562,As Tears Go By,"$9,436","$9,436",100%,-,-
563,Without the King,"$8,663","$8,663",100%,-,-
564,Amexicano,"$8,655","$8,655",100%,-,-
565,A Good Day to Be Black & Sexy,"$8,629","$8,629",100%,-,-
566,Stealing America: Vote by Vote,"$8,350","$8,350",100%,-,-
567,A Walk to Beautiful,"$7,718","$7,718",100%,-,-
568,The Amazing Truth About Queen Raquela,"$7,328","$5,597",76.4%,"$1,731",23.6%
569,Special 2008 Re-release,"$7,202","$7,202",100%,-,-
570,Take,"$6,627","$6,627",100%,-,-
571,Zardoz,"$6,320",-,-,"$6,320",100%
572,Heavy Metal in Baghdad,"$6,197","$4,070",65.7%,"$2,127",34.3%
573,On the Rumba River,"$6,021","$1,698",28.2%,"$4,323",71.8%
574,Choose Connor,"$5,788","$5,788",100%,-,-
575,Fraulein,"$5,715","$5,715",100%,-,-
576,Nights and Weekends,"$5,430","$5,430",100%,-,-
577,Dog Days of Summer,"$5,383","$5,383",100%,-,-
578,A Lawyer Walks Into a Bar...,"$5,202","$5,202",100%,-,-
579,Turn the River,"$5,149","$5,149",100%,-,-
